id,season,home_team_goal,away_team_goal,date,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,name,name,team_long_name,team_short_name,team_long_name,team_short_name
4127,2014/2015,1,0,2014-08-23 00:00:00,30973,89185,24948,193223,102356,127130,144996,23305,157729,38831,143365,24155,191869,43252,23134,240538,37240,34437,25415,24372,214426,27568,England,England Premier League,Swansea City,SWA,Burnley,BUR
4128,2014/2015,4,0,2014-08-24 00:00:00,26295,361315,26108,37762,46353,41365,500520,174850,157723,110189,30960,36374,176889,30620,24211,109298,24205,109638,127133,63520,149917,39987,England,England Premier League,Tottenham Hotspur,TOT,Queens Park Rangers,QPR
4129,2014/2015,0,0,2015-01-01 00:00:00,69650,32870,30602,257847,93484,160713,56972,183500,23264,148315,184360,22998,23358,23837,23030,146830,28901,154271,22929,35345,198510,160194,England,England Premier League,Aston Villa,AVL,Crystal Palace,CRY
4130,2014/2015,2,0,2015-01-01 00:00:00,32496,111930,163200,35480,24658,357880,131583,115681,190872,105548,8922,186054,77690,11736,23268,24846,212866,23782,26151,215384,32705,30922,England,England Premier League,Hull City,HUL,Everton,EVE
4131,2014/2015,2,2,2015-01-01 00:00:00,37868,307021,30831,94043,156008,30618,95327,314605,37234,246575,184536,45571,49571,23571,13423,67850,278343,173408,173317,22894,214570,286119,England,England Premier League,Liverpool,LIV,Leicester City,LEI
4132,2014/2015,3,2,2015-01-01 00:00:00,28955,30509,30459,156551,31291,40196,36615,33991,37459,26181,92666,103428,188540,24150,30362,22964,109058,24159,35443,118929,114218,169721,England,England Premier League,Manchester City,MCI,Sunderland,SUN
4133,2014/2015,3,3,2015-01-01 00:00:00,289159,104482,24228,30929,308932,38373,160243,479020,94550,31292,161420,24155,191869,290410,23134,240538,32304,25415,34437,37240,214426,107280,England,England Premier League,Newcastle United,NEW,Burnley,BUR
4134,2014/2015,1,1,2015-01-01 00:00:00,36374,109298,24211,176889,23311,50661,24205,35466,109638,24741,187266,30973,89185,155050,24948,102356,23882,144996,23305,157729,38831,26344,England,England Premier League,Queens Park Rangers,QPR,Swansea City,SWA
4135,2014/2015,2,0,2015-01-01 00:00:00,95336,160599,26552,215245,46010,279490,166676,23792,303339,94267,41280,169718,26154,35606,46539,78513,159594,425255,196386,37436,31435,50047,England,England Premier League,Southampton,SOU,Arsenal,ARS
4136,2014/2015,1,1,2015-01-01 00:00:00,46518,119541,40695,173382,37194,109621,23253,33881,72735,110148,30830,182917,186137,165823,43248,23354,34944,30829,362694,41468,22543,30843,England,England Premier League,Stoke City,STK,Manchester United,MUN
4137,2014/2015,5,3,2015-01-01 00:00:00,26295,159833,37762,95509,46353,500520,160448,166422,157723,110189,194165,170323,31306,23783,30627,72541,30613,115067,94086,128864,107417,19243,England,England Premier League,Tottenham Hotspur,TOT,Chelsea,CHE
4138,2014/2015,1,1,2015-01-01 00:00:00,169756,214685,24751,35110,155782,23678,41232,148302,30892,47382,192899,24147,265918,32441,33086,43247,24171,71502,32734,33468,23257,239807,England,England Premier League,West Ham United,WHU,West Bromwich Albion,WBA
4139,2014/2015,3,0,2015-01-11 00:00:00,50065,26154,35606,46539,38521,31435,159594,37436,196386,46469,50047,46518,119541,40695,200962,37194,109621,23253,33881,96643,110148,30830,England,England Premier League,Arsenal,ARS,Stoke City,STK
4140,2014/2015,2,1,2015-01-10 00:00:00,24155,191869,290410,23134,240538,32304,34437,25415,37240,107280,214426,36374,109298,176889,24211,23311,50661,35466,24205,109638,47394,187266,England,England Premier League,Burnley,BUR,Queens Park Rangers,QPR
4141,2014/2015,2,0,2015-01-10 00:00:00,30859,31306,281207,30627,72541,30613,115067,94086,128864,107417,19243,24229,104482,24899,30929,308932,199834,109652,160243,31292,94550,479020,England,England Premier League,Chelsea,CHE,Newcastle United,NEW
4142,2014/2015,2,1,2015-01-10 00:00:00,22998,146830,23030,23837,154271,161415,28901,22929,35345,363340,35523,26295,159833,95509,37762,46353,192920,41008,166422,157723,110189,194165,England,England Premier League,Crystal Palace,CRY,Tottenham Hotspur,TOT
4143,2014/2015,1,1,2015-01-10 00:00:00,186054,77690,263653,23268,24846,212866,23782,32448,32705,215384,181276,31432,30509,30459,156551,31291,40196,101103,33991,37459,26181,92666,England,England Premier League,Everton,EVE,Manchester City,MCI
4144,2014/2015,1,0,2015-01-10 00:00:00,45571,49571,13423,23571,24781,139671,22894,173408,202562,23190,26554,69650,32870,257847,161414,93484,182223,56972,160713,23264,148315,30630,England,England Premier League,Leicester City,LEI,Aston Villa,AVL
4145,2014/2015,0,1,2015-01-11 00:00:00,182917,186137,165823,161012,35327,41468,34944,30829,362694,46509,30843,95336,157838,160599,26552,46010,166676,46893,23792,279490,26675,41280,England,England Premier League,Manchester United,MUN,Southampton,SOU
4146,2014/2015,0,1,2015-01-10 00:00:00,103428,188540,24150,30362,180330,113908,24159,35443,118929,167634,169721,37868,307021,22764,94043,95327,156008,314605,30618,184536,280260,184822,England,England Premier League,Sunderland,SUN,Liverpool,LIV
4147,2014/2015,1,1,2015-01-10 00:00:00,30973,89185,155050,24948,102356,212702,23882,23305,157729,38831,26344,169756,214685,24751,35110,155782,109897,37169,23933,30892,47382,195927,England,England Premier League,Swansea City,SWA,West Ham United,WHU
4148,2014/2015,1,0,2015-01-10 00:00:00,24147,265918,32441,33086,43247,33468,24171,113968,23257,115160,239807,32496,163200,24658,35480,111930,131583,115681,21864,111865,105548,8922,England,England Premier League,West Bromwich Albion,WBA,Hull City,HUL
4149,2014/2015,0,2,2015-01-17 00:00:00,69650,32870,257847,139673,93484,182223,56972,160713,78324,23264,148315,37868,307021,22764,94043,280260,156008,95327,314605,246575,184822,184536,England,England Premier League,Aston Villa,AVL,Liverpool,LIV
4150,2014/2015,2,3,2015-01-17 00:00:00,24155,191869,23134,290410,240538,37240,34437,25415,32304,107280,214426,22998,154271,23030,23837,146830,35345,22929,28901,198510,363340,192921,England,England Premier League,Burnley,BUR,Crystal Palace,CRY
4151,2014/2015,0,0,2015-01-19 00:00:00,186054,77690,263653,23268,24846,212866,23782,32705,215384,26151,181276,24147,265918,32441,33086,43247,25075,113968,24171,23257,25666,239807,England,England Premier League,Everton,EVE,West Bromwich Albion,WBA
4152,2014/2015,0,1,2015-01-17 00:00:00,45571,49571,13423,23571,24781,202562,173317,103419,214570,286119,23190,46518,36786,47418,200962,173382,23253,109621,110148,96643,106228,33881,England,England Premier League,Leicester City,LEI,Stoke City,STK
4153,2014/2015,0,2,2015-01-18 00:00:00,31432,30509,30459,39027,31291,101103,40196,33991,37459,38807,37412,50065,427438,35606,46539,38521,159594,75489,37436,196386,46469,50047,England,England Premier League,Manchester City,MCI,Arsenal,ARS
4154,2014/2015,1,2,2015-01-17 00:00:00,24229,104482,308932,30929,240236,109652,160243,199834,94550,31292,479020,95336,157838,215245,26552,46010,502420,23792,94267,279490,26675,41280,England,England Premier League,Newcastle United,NEW,Southampton,SOU
4155,2014/2015,0,2,2015-01-17 00:00:00,36374,109298,24211,24209,23311,50661,35466,24205,109638,187266,24741,182917,186137,43248,161035,35327,41468,34944,30829,161012,46509,22543,England,England Premier League,Queens Park Rangers,QPR,Manchester United,MUN
4156,2014/2015,0,5,2015-01-17 00:00:00,30973,42703,155050,24948,102356,212702,157729,23305,156556,38831,26344,30859,31306,23783,30627,41167,30613,115067,94086,128864,107417,19243,England,England Premier League,Swansea City,SWA,Chelsea,CHE
4157,2014/2015,2,1,2015-01-17 00:00:00,26295,159833,361315,37762,46353,192920,41008,157723,194165,110189,37506,103428,188540,24150,30362,22964,35443,109058,180330,24159,32627,30348,England,England Premier League,Tottenham Hotspur,TOT,Sunderland,SUN
4158,2014/2015,3,0,2015-01-18 00:00:00,169756,214685,24751,109897,155782,23678,37169,23933,30892,195927,47382,32496,35480,24531,24658,163200,115681,24656,131583,111930,21864,23839,England,England Premier League,West Ham United,WHU,Hull City,HUL
4159,2014/2015,5,0,2015-02-01 00:00:00,50065,427438,35606,46539,38521,159594,75489,31013,37436,36378,46469,69650,32870,257847,161414,30352,78324,56972,160713,358289,148315,184360,England,England Premier League,Arsenal,ARS,Aston Villa,AVL
4160,2014/2015,1,1,2015-01-31 00:00:00,170323,31306,281207,30627,72541,79574,115067,94086,128864,107417,39987,31432,26111,39027,30459,31291,101103,40196,33991,37459,38807,37412,England,England Premier League,Chelsea,CHE,Manchester City,MCI
4161,2014/2015,0,1,2015-01-31 00:00:00,22998,154271,23837,23030,146830,35345,28901,22929,363340,25537,192921,186054,77690,263653,23268,24846,212866,23782,32448,32705,26151,181276,England,England Premier League,Crystal Palace,CRY,Everton,EVE
4162,2014/2015,0,3,2015-01-31 00:00:00,32496,24658,24531,111930,357880,115681,24656,190872,131583,105548,8922,24229,104482,24899,30929,240236,109652,160243,199834,94550,264840,479020,England,England Premier League,Hull City,HUL,Newcastle United,NEW
4163,2014/2015,2,0,2015-01-31 00:00:00,37868,307021,22764,94043,280260,156008,95327,314605,37234,246575,184536,169756,23931,24751,35110,155782,41232,23678,23933,30892,195927,47382,England,England Premier League,Liverpool,LIV,West Ham United,WHU
4164,2014/2015,3,1,2015-01-31 00:00:00,182917,35327,186137,161035,362694,161012,30829,46509,449241,30843,22543,30633,49571,23571,13423,67850,286119,173317,103419,214570,26554,173461,England,England Premier League,Manchester United,MUN,Leicester City,LEI
4165,2014/2015,0,1,2015-02-01 00:00:00,95336,157838,26552,72665,46010,502420,23792,94267,279490,26675,41280,30973,111800,155050,24948,102356,,212702,23305,127130,28108,26344,England,England Premier League,Southampton,SOU,Swansea City,SWA
4166,2014/2015,3,1,2015-01-31 00:00:00,46518,36786,40695,200962,47418,23253,109621,110148,24213,106228,33881,36374,109298,24209,24211,23311,50661,24205,38820,35466,109638,187266,England,England Premier League,Stoke City,STK,Queens Park Rangers,QPR
4167,2014/2015,2,0,2015-01-31 00:00:00,103428,32579,188540,24150,180330,35443,113908,118929,24159,30348,169721,24155,191869,290410,23134,240538,32304,34437,25415,37240,107280,214426,England,England Premier League,Sunderland,SUN,Burnley,BUR
4168,2014/2015,0,3,2015-01-31 00:00:00,24147,265918,32441,169162,33086,172841,113968,24171,23257,239807,25666,26295,159833,95509,37762,46353,41008,160448,174850,114971,157723,194165,England,England Premier League,West Bromwich Albion,WBA,Tottenham Hotspur,TOT
4169,2014/2015,1,2,2015-02-07 00:00:00,69650,32870,257847,161414,93484,160713,78324,182223,358289,23264,184360,170323,31306,23783,30627,72541,79574,115067,94086,128864,107417,30822,England,England Premier League,Aston Villa,AVL,Chelsea,CHE
4170,2014/2015,2,2,2015-02-08 00:00:00,24155,191869,290410,23134,240538,32304,34437,25415,37240,214426,107280,24147,169162,32441,33086,43247,172841,24148,113968,23257,33468,25666,England,England Premier League,Burnley,BUR,West Bromwich Albion,WBA
4171,2014/2015,0,0,2015-02-07 00:00:00,186054,77690,263653,23268,193859,23782,101192,212866,32705,26151,181276,37868,307021,22764,94043,280653,95327,156008,314605,184536,246575,30618,England,England Premier League,Everton,EVE,Liverpool,LIV
4172,2014/2015,0,1,2015-02-07 00:00:00,30633,49571,23571,13423,24781,278343,30930,173408,214570,26554,23190,22998,146830,23837,23030,154271,22929,28901,35345,149917,198510,363340,England,England Premier League,Leicester City,LEI,Crystal Palace,CRY
4173,2014/2015,1,1,2015-02-07 00:00:00,31432,30509,30459,39027,31291,26181,40196,101103,37459,15403,37412,32496,24531,35480,40132,131583,115681,24656,111930,190872,231801,23839,England,England Premier League,Manchester City,MCI,Hull City,HUL
4174,2014/2015,1,1,2015-02-08 00:00:00,24229,104482,24899,30929,240236,109652,160243,199834,94550,264840,479020,46518,36786,173382,200962,47418,23253,109621,24213,106228,72735,33881,England,England Premier League,Newcastle United,NEW,Stoke City,STK
4175,2014/2015,0,1,2015-02-07 00:00:00,36374,176889,24211,23311,127133,24209,24205,109638,63520,47394,187266,95336,157838,26552,72665,538112,279490,166676,23792,303339,41280,26675,England,England Premier League,Queens Park Rangers,QPR,Southampton,SOU
4176,2014/2015,1,1,2015-02-07 00:00:00,30973,111800,155050,24948,102356,144996,46008,23305,127130,313668,26344,103428,32579,24150,188540,180330,50189,113908,35443,118929,38759,30348,England,England Premier League,Swansea City,SWA,Sunderland,SUN
4177,2014/2015,2,1,2015-02-07 00:00:00,26295,159833,361315,37762,46353,500520,160448,174850,41008,157723,194165,50065,427438,35606,46539,38521,159594,75489,37436,113836,36378,46469,England,England Premier League,Tottenham Hotspur,TOT,Arsenal,ARS
4178,2014/2015,1,1,2015-02-08 00:00:00,169756,214685,148302,109897,155782,23678,37169,23933,30892,192899,195927,182917,35327,186137,161035,362694,161012,30829,449241,46509,22543,30843,England,England Premier League,West Ham United,WHU,Manchester United,MUN
4179,2014/2015,2,1,2015-02-10 00:00:00,50065,427438,35606,46539,38521,159594,31013,31435,37436,36378,50047,30633,49571,23818,23571,38899,24781,278343,173408,30930,214570,173461,England,England Premier League,Arsenal,ARS,Leicester City,LEI
4180,2014/2015,2,0,2015-02-10 00:00:00,32496,24531,35480,40132,111930,24656,115681,131583,231801,101969,8922,69650,32870,257847,161414,93484,182223,78324,358289,23991,184360,23264,England,England Premier League,Hull City,HUL,Aston Villa,AVL
4181,2014/2015,3,1,2015-02-11 00:00:00,182917,575780,186137,43248,161035,161012,30829,46509,449241,30843,22543,24155,191869,290410,23134,240538,32304,37240,25415,32148,107280,214426,England,England Premier League,Manchester United,MUN,Burnley,BUR
4182,2014/2015,0,0,2015-02-11 00:00:00,95336,157838,26552,215245,72665,23792,502420,166676,303339,41280,26675,169756,214685,148302,109897,155782,41232,23678,30892,192899,34543,195927,England,England Premier League,Southampton,SOU,West Ham United,WHU
4183,2014/2015,1,1,2015-02-11 00:00:00,22998,146830,26777,23030,154271,35345,28901,22929,198510,25537,192921,24229,104482,24899,30929,240236,31292,160243,94550,199834,479020,46700,England,England Premier League,Crystal Palace,CRY,Newcastle United,NEW
4184,2014/2015,3,2,2015-02-10 00:00:00,37868,307021,22764,94043,280653,156008,30618,314605,280260,184536,51553,26295,159833,361315,37762,46353,500520,160448,174850,41008,157723,194165,England,England Premier League,Liverpool,LIV,Tottenham Hotspur,TOT
4185,2014/2015,2,0,2015-02-11 00:00:00,24147,33086,23257,32441,169162,172841,24171,239807,113968,24148,115160,30973,111800,155050,24948,102356,127130,46008,23305,144996,52563,26344,England,England Premier League,West Bromwich Albion,WBA,Swansea City,SWA
4186,2014/2015,1,0,2015-02-11 00:00:00,30859,31306,281207,30627,72541,79574,115067,155066,94086,107417,39987,31465,77690,263653,23268,193859,212866,23782,30895,32705,215384,181276,England,England Premier League,Chelsea,CHE,Everton,EVE
4187,2014/2015,1,4,2015-02-11 00:00:00,46518,119541,200962,173382,36786,109621,23253,110148,72735,106228,30830,31432,30509,39027,156551,16351,40196,101103,38807,37459,26181,37412,England,England Premier League,Stoke City,STK,Manchester City,MCI
4188,2014/2015,0,2,2015-02-10 00:00:00,103428,32579,188540,24150,180330,113908,24159,35443,118929,169721,30348,36374,109298,30620,245530,176889,127133,24205,35466,38820,24741,109638,England,England Premier League,Sunderland,SUN,Queens Park Rangers,QPR
4189,2014/2015,1,2,2015-02-21 00:00:00,69650,32870,30602,161414,30352,358289,56972,78324,23991,148315,23264,46518,36786,200962,47418,37194,24213,109621,23253,33881,72735,106228,England,England Premier League,Aston Villa,AVL,Stoke City,STK
4190,2014/2015,1,1,2015-02-21 00:00:00,170323,31306,281207,30627,41167,115067,30613,155066,128864,107417,19243,24155,191869,290410,23134,240538,32304,37240,25415,32148,107280,214426,England,England Premier League,Chelsea,CHE,Burnley,BUR
4191,2014/2015,1,2,2015-02-21 00:00:00,22998,146830,23837,23030,183519,198510,149917,22929,35345,363340,24157,50065,425255,35606,46539,38521,159594,37436,50047,36378,113836,46469,England,England Premier League,Crystal Palace,CRY,Arsenal,ARS
4192,2014/2015,2,2,2015-02-22 00:00:00,31465,77690,263653,23268,24846,212866,101192,30895,215384,32705,181276,30633,23571,38899,23818,49571,173408,30930,24781,214570,173461,278343,England,England Premier League,Everton,EVE,Leicester City,LEI
4193,2014/2015,2,1,2015-02-21 00:00:00,32496,24531,35480,40132,111930,115681,24656,131583,231801,8922,101969,36374,609733,176889,30620,245530,127133,24205,35466,38820,24741,187266,England,England Premier League,Hull City,HUL,Queens Park Rangers,QPR
4194,2014/2015,5,0,2015-02-21 00:00:00,31432,30509,156551,39027,16351,40196,26181,36615,37459,15403,37412,24229,104482,24899,30929,240236,109652,160243,31292,94550,479020,46700,England,England Premier League,Manchester City,MCI,Newcastle United,NEW
4195,2014/2015,0,2,2015-02-22 00:00:00,95336,157838,26552,72665,538112,279490,166676,23792,178538,41280,26675,37868,114268,22764,307021,280653,156008,47558,280260,37234,246575,184536,England,England Premier League,Southampton,SOU,Liverpool,LIV
4196,2014/2015,0,0,2015-02-21 00:00:00,103428,188540,30362,24150,32579,50189,25150,35443,24159,30348,38759,24147,169162,32441,33086,23257,24171,24148,113968,25075,239807,115160,England,England Premier League,Sunderland,SUN,West Bromwich Albion,WBA
4197,2014/2015,2,1,2015-02-21 00:00:00,30973,111800,155050,24948,102356,46008,144996,127130,157729,26344,38831,182917,575780,186137,161035,362694,161012,39618,46509,164676,30829,30843,England,England Premier League,Swansea City,SWA,Manchester United,MUN
4198,2014/2015,2,2,2015-02-22 00:00:00,26295,159833,361315,37762,46353,160448,500520,166422,41008,174850,194165,169756,214685,35110,109897,155782,148302,23678,37169,30892,192899,195927,England,England Premier League,Tottenham Hotspur,TOT,West Ham United,WHU
4199,2014/2015,2,0,2015-03-01 00:00:00,50065,427438,177503,46539,78513,159594,37436,196386,36378,46469,50047,31465,77690,263653,23268,191132,101192,23782,212866,26151,181276,215384,England,England Premier League,Arsenal,ARS,Everton,EVE
4200,2014/2015,0,1,2015-02-28 00:00:00,24155,191869,290410,23134,240538,32304,25415,37240,32148,107280,214426,30973,111800,155050,24948,102356,144996,46008,38831,127130,212702,26344,England,England Premier League,Burnley,BUR,Swansea City,SWA
4201,2014/2015,1,3,2015-04-29 00:00:00,37770,13423,38899,23571,139671,30930,103419,24781,173317,286119,26554,30859,31306,23783,30627,72541,115067,30613,79574,94086,107417,30822,England,England Premier League,Leicester City,LEI,Chelsea,CHE
4202,2014/2015,2,1,2015-03-01 00:00:00,37868,307021,22764,114268,280260,156008,47558,314605,184536,246575,37234,31432,30509,156551,39027,16351,40196,36615,26181,37459,15403,37412,England,England Premier League,Liverpool,LIV,Manchester City,MCI
4203,2014/2015,2,0,2015-02-28 00:00:00,182917,165823,43248,161035,35327,164676,161012,23354,46509,30829,22543,103428,32579,30362,24150,180330,25150,35443,118929,24159,30348,169721,England,England Premier League,Manchester United,MUN,Sunderland,SUN
4204,2014/2015,1,0,2015-02-28 00:00:00,24229,104482,24899,30929,240236,39968,94550,301234,264840,161420,46700,69650,183715,257847,161414,32870,182223,160713,78324,23991,148315,23264,England,England Premier League,Newcastle United,NEW,Aston Villa,AVL
4205,2014/2015,1,2,2015-03-07 00:00:00,36374,24209,30620,176889,245530,109298,35466,156727,127133,187266,24741,26295,159833,361315,37762,276121,500520,160448,166422,157723,110189,194165,England,England Premier League,Queens Park Rangers,QPR,Tottenham Hotspur,TOT
4206,2014/2015,1,0,2015-02-28 00:00:00,46518,36786,200962,47418,37194,23253,109621,72735,24213,106228,33881,32496,24531,35480,40132,111930,115681,24656,131583,111865,190872,23839,England,England Premier League,Stoke City,STK,Hull City,HUL
4207,2014/2015,1,0,2015-02-28 00:00:00,24147,169162,32441,33086,23257,24171,24148,113968,25075,115160,239807,95336,215245,26552,72665,157838,46893,166676,46010,94267,41280,303339,England,England Premier League,West Bromwich Albion,WBA,Southampton,SOU
4208,2014/2015,1,3,2015-02-28 00:00:00,169756,214685,109897,35110,155782,37169,23678,148302,30892,192899,195927,22998,146830,23837,23030,154271,149917,8985,35345,198510,160194,35523,England,England Premier League,West Ham United,WHU,Crystal Palace,CRY
4209,2014/2015,2,1,2015-03-03 00:00:00,69650,32870,257847,161414,183715,160713,182223,78324,23264,148315,29581,24147,169162,32441,33086,23257,25075,113968,24148,24171,115160,239807,England,England Premier League,Aston Villa,AVL,West Bromwich Albion,WBA
4210,2014/2015,1,1,2015-03-03 00:00:00,32496,24531,35480,40132,111930,115681,24656,131583,357880,101969,8922,103428,188540,24150,30362,32579,109058,113908,25150,35443,38759,30348,England,England Premier League,Hull City,HUL,Sunderland,SUN
4211,2014/2015,1,2,2015-03-04 00:00:00,36374,609733,24209,176889,245530,127133,156727,35466,113465,24741,187266,50065,427438,35606,177503,78513,37436,159594,31435,36378,50047,46469,England,England Premier League,Queens Park Rangers,QPR,Arsenal,ARS
4212,2014/2015,1,0,2015-03-03 00:00:00,95336,157838,26552,72665,46010,166676,46893,26675,178538,303339,41280,22998,146830,23837,23030,154271,28901,198510,35345,22929,160194,363340,England,England Premier League,Southampton,SOU,Crystal Palace,CRY
4213,2014/2015,0,1,2015-03-04 00:00:00,169756,214685,109897,35110,155782,148302,37169,23933,30892,192899,195927,170323,31306,23783,30627,72541,30613,281207,79574,128864,107417,19243,England,England Premier League,West Ham United,WHU,Chelsea,CHE
4214,2014/2015,2,0,2015-03-04 00:00:00,37868,307021,22764,114268,47558,156008,314605,246575,184536,37234,51553,24155,191869,290410,23134,240538,32304,37240,25415,32148,107280,214426,England,England Premier League,Liverpool,LIV,Burnley,BUR
4215,2014/2015,2,0,2015-03-04 00:00:00,31432,26111,30459,156551,16351,33991,101103,36615,37459,37412,143365,30633,49571,23571,38899,23818,24781,278343,173408,30930,214570,173461,England,England Premier League,Manchester City,MCI,Leicester City,LEI
4216,2014/2015,0,1,2015-03-04 00:00:00,24229,104482,24899,30929,24890,39968,301234,94550,264840,161420,46700,182917,35327,165823,43248,161035,161012,164676,39618,46509,30829,23354,England,England Premier League,Newcastle United,NEW,Manchester United,MUN
4217,2014/2015,2,0,2015-03-04 00:00:00,46518,36786,200962,47418,37194,23253,109621,33881,39109,106228,30830,31465,77690,263653,23268,191132,101192,23782,24156,30895,181276,32705,England,England Premier League,Stoke City,STK,Everton,EVE
4218,2014/2015,3,2,2015-03-04 00:00:00,26295,159833,361315,37762,46353,500520,160448,166422,157723,110189,194165,30973,111800,155050,24948,102356,144996,46008,157729,127130,38831,26344,England,England Premier League,Tottenham Hotspur,TOT,Swansea City,SWA
4219,2014/2015,3,0,2015-03-14 00:00:00,50065,425255,35606,46539,38521,159594,75489,31013,36378,50047,46469,169756,23931,24751,148302,155782,23678,37169,30892,23933,23538,192899,England,England Premier League,Arsenal,ARS,West Ham United,WHU
4220,2014/2015,1,0,2015-03-14 00:00:00,24155,191869,43252,23134,240538,32304,37240,25415,107280,46898,214426,31432,30509,30459,39027,31291,33991,36615,40196,37459,15403,37412,England,England Premier League,Burnley,BUR,Manchester City,MCI
4221,2014/2015,1,1,2015-03-15 00:00:00,170323,31306,23783,30627,72541,30613,115067,94086,128864,107417,19243,95336,157838,26552,160599,46010,166676,46893,23792,303339,94267,23293,England,England Premier League,Chelsea,CHE,Southampton,SOU
4222,2014/2015,3,1,2015-03-14 00:00:00,22998,146830,23837,23030,154271,28901,22929,198510,35345,160194,35523,36374,609733,24209,176889,245530,156727,35466,30367,47394,127133,187266,England,England Premier League,Crystal Palace,CRY,Queens Park Rangers,QPR
4223,2014/2015,3,0,2015-03-15 00:00:00,31465,77690,11736,23268,24846,30895,101192,24156,24006,181276,30922,24229,104482,24899,30929,24890,94550,160243,39968,31292,264840,161420,England,England Premier League,Everton,EVE,Newcastle United,NEW
4224,2014/2015,0,0,2015-03-14 00:00:00,30633,67850,23571,38899,23818,214570,278343,30930,173408,286119,173461,32496,24531,35480,40132,111930,115681,24656,190872,357880,101969,8922,England,England Premier League,Leicester City,LEI,Hull City,HUL
4225,2014/2015,3,0,2015-03-15 00:00:00,182917,35327,165823,186137,161012,164676,34944,41468,39618,23354,30829,26295,159833,361315,37762,46353,160448,500520,166422,157723,110189,194165,England,England Premier League,Manchester United,MUN,Tottenham Hotspur,TOT
4226,2014/2015,0,4,2015-03-14 00:00:00,103428,32579,30362,24150,180330,35443,113908,109058,50189,32627,30348,69650,183500,257847,161414,183715,78324,160713,23991,29581,23264,148315,England,England Premier League,Sunderland,SUN,Aston Villa,AVL
4227,2014/2015,0,1,2015-03-16 00:00:00,30973,111800,193223,24948,102356,144996,46008,127130,157729,26344,38831,37868,307021,22764,94043,246575,47558,156008,314605,37234,51553,184536,England,England Premier League,Swansea City,SWA,Liverpool,LIV
4228,2014/2015,1,0,2015-03-14 00:00:00,24147,169162,32441,33086,23257,25075,24148,24171,33468,239807,115160,46518,36786,40695,47418,37194,23253,109621,33881,39109,106228,30830,England,England Premier League,West Bromwich Albion,WBA,Stoke City,STK
4229,2014/2015,2,1,2014-08-31 00:00:00,69650,32870,30890,30602,93484,29581,182223,78324,30352,184360,23264,32496,24658,24531,40132,111930,115681,24656,21864,357880,212714,8922,England,England Premier League,Aston Villa,AVL,Hull City,HUL
4230,2014/2015,0,0,2014-08-30 00:00:00,24155,191869,43252,23134,240538,37240,34437,25415,24372,214426,27568,182917,43248,186137,501040,24148,35327,46509,23354,41468,30829,30843,England,England Premier League,Burnley,BUR,Manchester United,MUN
4231,2014/2015,3,6,2014-08-30 00:00:00,31465,77690,23268,24216,24846,101192,23782,32448,32705,26151,181276,170323,31306,23783,30627,72541,79574,115067,94086,30613,107417,19243,England,England Premier League,Everton,EVE,Chelsea,CHE
4232,2014/2015,1,1,2014-08-31 00:00:00,37770,67850,210804,23571,24781,278343,22894,103419,214570,23190,26554,169718,26154,46539,35606,38521,75489,23688,50047,36378,37436,192921,England,England Premier League,Leicester City,LEI,Arsenal,ARS
4233,2014/2015,0,1,2014-08-30 00:00:00,31432,26111,30459,39027,16351,26181,36615,101103,37459,92666,37412,46518,36786,40695,47418,37194,33881,23253,109621,106228,72735,30830,England,England Premier League,Manchester City,MCI,Stoke City,STK
4234,2014/2015,3,3,2014-08-30 00:00:00,24229,104482,24899,30929,240236,94550,160243,199834,103899,31292,161420,22998,23358,23837,23030,154271,35345,8985,146830,160194,25537,363340,England,England Premier League,Newcastle United,NEW,Crystal Palace,CRY
4235,2014/2015,1,0,2014-08-30 00:00:00,36374,176889,30620,23311,109298,24205,149917,109638,113465,187266,127133,37233,188540,30362,24150,180330,35443,25150,109058,169721,32627,24159,England,England Premier League,Queens Park Rangers,QPR,Sunderland,SUN
4236,2014/2015,3,0,2014-08-30 00:00:00,30973,89185,193223,24948,102356,144996,127130,23305,157729,38831,143365,24147,265918,169162,26527,192303,32734,25075,71502,23257,239807,115160,England,England Premier League,Swansea City,SWA,West Bromwich Albion,WBA
4237,2014/2015,0,3,2014-08-31 00:00:00,26295,361315,37762,26108,46353,41365,500520,174850,157723,110189,30960,37868,299984,114268,94043,314605,156008,30618,47558,246575,108808,51553,England,England Premier League,Tottenham Hotspur,TOT,Liverpool,LIV
4238,2014/2015,1,3,2014-08-30 00:00:00,169756,23931,35110,109897,155782,37169,148302,30892,18506,23936,34543,95336,157838,26552,72665,46010,23792,279490,46893,94267,23293,41280,England,England Premier League,West Ham United,WHU,Southampton,SOU
4239,2014/2015,0,1,2015-03-21 00:00:00,69650,32870,257847,161414,183500,78324,160713,23991,29581,23264,148315,30973,111800,155050,24948,102356,144996,46008,127130,38831,157729,26344,England,England Premier League,Aston Villa,AVL,Swansea City,SWA
4240,2014/2015,2,3,2015-03-22 00:00:00,32496,24531,35480,40132,111930,115681,131583,190872,357880,105548,101969,170323,31306,23783,30627,41167,79574,115067,94086,30613,107417,19243,England,England Premier League,Hull City,HUL,Chelsea,CHE
